"Repository","Code Module","Maintainability Index","Total Lines of Code","Comment-to-SLOC Ratio","Logical Lines of Code","Single Line Comments (Only #)","Source Lines of Code","Multi-Line Strings","Comments","Blank Lines"
"ansible","packaging.release.versionhelper.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.constants.py","63","208","17.53%","92","19","154","0","27","35"
"ansible","lib.ansible.release.py","100","24","340.00%","5","17","5","0","17","2"
"ansible","lib.ansible.__init__.py","100","28","766.66%","3","23","3","0","23","2"
"ansible","lib.ansible.executor.play_iterator.py","23","568","20.38%","403","84","412","3","84","69"
"ansible","lib.ansible.executor.module_common.py","34","1003","22.20%","391","147","662","41","147","153"
"ansible","lib.ansible.executor.stats.py","73","96","41.17%","51","26","51","0","21","19"
"ansible","lib.ansible.executor.task_queue_manager.py","46","381","21.84%","227","52","238","25","52","66"
"ansible","lib.ansible.executor.__init__.py","100","20","850.00%","2","17","2","0","17","1"
"ansible","lib.ansible.executor.playbook_executor.py","54","291","32.94%","174","52","170","17","56","52"
"ansible","lib.ansible.executor.task_executor.py","16","998","26.29%","594","163","635","47","167","153"
"ansible","lib.ansible.executor.action_write_locks.py","71","44","236.36%","11","26","11","0","26","7"
"ansible","lib.ansible.executor.task_result.py","53","142","14.44%","94","15","90","5","13","32"
"ansible","lib.ansible.executor.process.__init__.py","100","20","850.00%","2","17","2","0","17","1"
"ansible","lib.ansible.executor.process.worker.py","71","171","39.00%","78","39","100","10","39","22"
"ansible","lib.ansible.executor.powershell.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.compat.__init__.py","100","26","850.00%","3","17","2","5","17","2"
"ansible","lib.ansible.compat.selectors.__init__.py","100","55","170.58%","19","29","17","4","29","5"
"ansible","lib.ansible.compat.selectors._selectors2.py","22","654","12.61%","445","58","444","35","56","117"
"ansible","lib.ansible.module_utils.heroku.py","79","38","7.69%","25","2","26","0","2","10"
"ansible","lib.ansible.module_utils.ibm_sa_utils.py","65","85","6.55%","48","7","61","0","4","17"
"ansible","lib.ansible.module_utils.dimensiondata.py","60","335","26.62%","146","41","154","63","41","77"
"ansible","lib.ansible.module_utils.known_hosts.py","56","195","31.93%","124","41","119","0","38","35"
"ansible","lib.ansible.module_utils.ovirt.py","37","803","7.42%","347","33","458","180","34","132"
"ansible","lib.ansible.module_utils.online.py","49","121","2.29%","73","2","87","0","2","32"
"ansible","lib.ansible.module_utils.splitter.py","53","216","74.46%","99","68","94","20","70","34"
"ansible","lib.ansible.module_utils.lxd.py","69","142","32.55%","86","28","86","10","28","18"
"ansible","lib.ansible.module_utils.memset.py","69","154","39.47%","82","30","76","17","30","31"
"ansible","lib.ansible.module_utils.database.py","64","133","35.71%","90","30","84","0","30","19"
"ansible","lib.ansible.module_utils.vmware.py","8","1151","8.84%","680","71","769","107","68","204"
"ansible","lib.ansible.module_utils.redfish_utils.py","0","949","7.98%","795","58","751","0","60","140"
"ansible","lib.ansible.module_utils.netapp.py","55","271","21.92%","153","42","187","0","41","42"
"ansible","lib.ansible.module_utils.rax.py","43","331","14.34%","212","42","230","11","33","48"
"ansible","lib.ansible.module_utils.azure_rm_common_rest.py","64","70","10.41%","48","5","48","0","5","17"
"ansible","lib.ansible.module_utils.influxdb.py","70","76","6.45%","38","4","62","0","4","10"
"ansible","lib.ansible.module_utils.netapp_elementsw_module.py","67","156","17.64%","74","12","68","54","12","22"
"ansible","lib.ansible.module_utils.digital_ocean.py","67","147","34.88%","78","29","86","9","30","23"
"ansible","lib.ansible.module_utils.f5_utils.py","49","383","12.94%","153","36","278","11","36","58"
"ansible","lib.ansible.module_utils.ipa.py","53","190","20.86%","130","29","139","0","29","22"
"ansible","lib.ansible.module_utils.vultr.py","28","312","3.25%","175","8","246","0","8","58"
"ansible","lib.ansible.module_utils.yumdnf.py","69","142","17.17%","63","15","99","10","17","18"
"ansible","lib.ansible.module_utils.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.oneandone.py","56","277","17.41%","134","27","155","55","27","40"
"ansible","lib.ansible.module_utils.ec2.py","33","720","14.14%","389","60","410","132","58","118"
"ansible","lib.ansible.module_utils.mysql.py","76","80","75.00%","39","30","40","0","30","10"
"ansible","lib.ansible.module_utils.gitlab.py","77","37","19.23%","26","3","26","0","5","8"
"ansible","lib.ansible.module_utils.postgres.py","86","61","120.83%","16","29","24","0","29","8"
"ansible","lib.ansible.module_utils.gce.py","79","54","158.82%","19","29","17","0","27","8"
"ansible","lib.ansible.module_utils.acme.py","16","868","10.09%","565","61","614","99","62","94"
"ansible","lib.ansible.module_utils.scaleway.py","47","126","1.09%","73","1","91","0","1","34"
"ansible","lib.ansible.module_utils.api.py","74","127","45.31%","58","32","64","12","29","19"
"ansible","lib.ansible.module_utils.firewalld.py","47","311","11.05%","168","23","208","29","23","51"
"ansible","lib.ansible.module_utils.urls.py","16","1326","19.50%","721","155","764","189","149","218"
"ansible","lib.ansible.module_utils._text.py","46","278","72.50%","81","58","80","98","58","42"
"ansible","lib.ansible.module_utils.oneview.py","46","500","18.29%","240","43","235","113","43","109"
"ansible","lib.ansible.module_utils.azure_rm_common.py","5","1210","6.80%","682","59","896","73","61","182"
"ansible","lib.ansible.module_utils.crypto.py","66","160","22.82%","99","30","92","0","21","38"
"ansible","lib.ansible.module_utils.basic.py","0","2949","13.62%","1945","278","2091","152","285","428"
"ansible","lib.ansible.module_utils.openstack.py","70","158","34.28%","65","36","105","0","36","17"
"ansible","lib.ansible.module_utils.cloudscale.py","63","77","7.01%","39","4","57","0","4","16"
"ansible","lib.ansible.module_utils.netapp_module.py","55","149","75.47%","61","41","53","40","40","15"
"ansible","lib.ansible.module_utils.cloudstack.py","6","647","3.84%","439","23","520","0","20","104"
"ansible","lib.ansible.module_utils.redhat.py","60","284","32.85%","152","45","140","54","46","45"
"ansible","lib.ansible.module_utils.pycompat24.py","72","88","103.22%","34","32","31","14","32","11"
"ansible","lib.ansible.module_utils.opennebula.py","56","306","4.92%","146","7","142","93","7","64"
"ansible","lib.ansible.module_utils.ansible_tower.py","79","108","45.00%","51","28","60","6","27","14"
"ansible","lib.ansible.module_utils.cloud.py","46","217","40.35%","64","22","57","111","23","27"
"ansible","lib.ansible.module_utils.ansible_release.py","100","24","340.00%","5","17","5","0","17","2"
"ansible","lib.ansible.module_utils.gcp.py","31","815","15.52%","404","74","438","158","68","145"
"ansible","lib.ansible.module_utils.vmware_rest_client.py","66","136","11.45%","75","11","96","9","11","20"
"ansible","lib.ansible.module_utils.pure.py","76","122","53.03%","60","39","66","0","35","17"
"ansible","lib.ansible.module_utils.gcp_utils.py","42","267","9.50%","173","19","200","0","19","48"
"ansible","lib.ansible.module_utils.infinibox.py","82","93","59.57%","47","32","47","0","28","14"
"ansible","lib.ansible.module_utils.keycloak.py","55","341","15.00%","159","27","180","80","27","54"
"ansible","lib.ansible.module_utils.ldap.py","77","78","15.09%","43","8","53","0","8","17"
"ansible","lib.ansible.module_utils.gcdns.py","78","55","164.70%","19","30","17","0","28","8"
"ansible","lib.ansible.module_utils.exoscale.py","52","136","7.54%","82","8","106","0","8","22"
"ansible","lib.ansible.module_utils.connection.py","64","191","33.33%","108","34","105","11","35","41"
"ansible","lib.ansible.module_utils.ismount.py","47","90","280.00%","21","54","20","8","56","8"
"ansible","lib.ansible.module_utils.docker_common.py","28","639","15.19%","369","66","441","45","67","87"
"ansible","lib.ansible.module_utils.univention_umc.py","70","293","25.17%","117","35","139","49","35","70"
"ansible","lib.ansible.module_utils.vca.py","36","332","9.82%","210","23","234","0","23","75"
"ansible","lib.ansible.module_utils.json_utils.py","75","76","110.71%","32","31","28","6","31","11"
"ansible","lib.ansible.module_utils.service.py","57","274","41.53%","139","53","130","39","54","52"
"ansible","lib.ansible.module_utils.manageiq.py","72","165","32.94%","74","28","85","23","28","29"
"ansible","lib.ansible.module_utils.compat.ipaddress.py","0","2471","13.51%","1164","170","1191","596","161","514"
"ansible","lib.ansible.module_utils.compat.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.net_tools.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.net_tools.nios.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.net_tools.nios.api.py","44","388","17.37%","234","46","236","54","41","52"
"ansible","lib.ansible.module_utils.network.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.junos.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.junos.junos.py","36","445","11.61%","300","36","310","19","36","80"
"ansible","lib.ansible.module_utils.network.nos.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.nos.nos.py","73","160","28.12%","69","18","64","43","18","35"
"ansible","lib.ansible.module_utils.network.asa.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.asa.asa.py","67","171","24.77%","84","27","109","0","27","35"
"ansible","lib.ansible.module_utils.network.ftd.fdm_swagger_client.py","35","617","4.88%","336","17","348","170","17","82"
"ansible","lib.ansible.module_utils.network.ftd.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.ftd.common.py","62","193","20.93%","93","19","86","42","18","46"
"ansible","lib.ansible.module_utils.network.ftd.configuration.py","42","544","7.84%","288","23","293","127","23","101"
"ansible","lib.ansible.module_utils.network.dellos10.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.dellos10.dellos10.py","69","152","31.31%","76","31","99","0","31","22"
"ansible","lib.ansible.module_utils.network.bigswitch.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.bigswitch.bigswitch.py","80","91","60.00%","46","27","45","0","27","19"
"ansible","lib.ansible.module_utils.network.routeros.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.routeros.routeros.py","71","156","28.42%","85","27","95","0","27","34"
"ansible","lib.ansible.module_utils.network.aci.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.aci.aci.py","19","972","27.28%","588","162","579","92","158","139"
"ansible","lib.ansible.module_utils.network.cloudengine.ce.py","38","394","12.10%","245","44","256","6","31","88"
"ansible","lib.ansible.module_utils.network.cloudengine.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.f5.ipaddress.py","75","93","14.54%","51","8","55","12","8","18"
"ansible","lib.ansible.module_utils.network.f5.bigiq.py","57","104","4.65%","69","4","86","0","4","14"
"ansible","lib.ansible.module_utils.network.f5.legacy.py","69","121","14.28%","44","13","91","0","13","17"
"ansible","lib.ansible.module_utils.network.f5.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.f5.iworkflow.py","67","57","8.88%","38","4","45","0","4","8"
"ansible","lib.ansible.module_utils.network.f5.common.py","32","670","4.41%","359","19","430","100","19","121"
"ansible","lib.ansible.module_utils.network.f5.icontrol.py","46","505","17.37%","242","49","282","87","49","87"
"ansible","lib.ansible.module_utils.network.f5.bigip.py","58","104","4.70%","67","4","85","0","4","15"
"ansible","lib.ansible.module_utils.network.aruba.aruba.py","73","131","35.89%","62","28","78","0","28","25"
"ansible","lib.ansible.module_utils.network.aruba.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.netconf.netconf.py","70","137","22.61%","84","19","84","0","19","34"
"ansible","lib.ansible.module_utils.network.netconf.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.ironware.ironware.py","71","113","26.47%","55","18","68","0","18","27"
"ansible","lib.ansible.module_utils.network.ironware.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.iosxr.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.iosxr.iosxr.py","33","566","10.99%","326","43","391","36","43","96"
"ansible","lib.ansible.module_utils.network.voss.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.voss.voss.py","79","116","39.70%","65","27","68","0","27","21"
"ansible","lib.ansible.module_utils.network.a10.a10.py","68","153","38.37%","84","33","86","11","33","23"
"ansible","lib.ansible.module_utils.network.a10.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.ordnance.ordnance.py","64","19","0.00%","15","0","15","0","0","4"
"ansible","lib.ansible.module_utils.network.ordnance.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.network.meraki.meraki.py","48","321","23.80%","188","59","210","9","50","43"
"ansible","lib.ansible.module_utils.network.meraki.__init__.py","100","0","NA","0","0","0","0","0","0"
