name,module_name,msg,code,n
ansible,docs.docsite._themes.sphinx_rtd_theme.__init__.py,missing-function-docstring,C,1
ansible,lib.ansible.release.py,missing-module-docstring,C,1
ansible,lib.ansible.release.py,invalid-name,C,1
ansible,lib.ansible.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.__init__.py,invalid-name,C,1
ansible,lib.ansible.vars.unsafe_proxy.py,line-too-long,C,1
ansible,lib.ansible.vars.unsafe_proxy.py,missing-module-docstring,C,1
ansible,lib.ansible.vars.unsafe_proxy.py,invalid-name,C,1
ansible,lib.ansible.vars.unsafe_proxy.py,ungrouped-imports,C,1
ansible,lib.ansible.playbook.attribute.py,line-too-long,C,1
ansible,lib.ansible.playbook.attribute.py,missing-module-docstring,C,1
ansible,lib.ansible.playbook.attribute.py,invalid-name,C,1
ansible,lib.ansible.playbook.attribute.py,missing-class-docstring,C,2
ansible,lib.ansible.playbook.attribute.py,too-many-instance-attributes,R,1
ansible,lib.ansible.playbook.attribute.py,too-many-arguments,R,1
ansible,lib.ansible.playbook.attribute.py,too-few-public-methods,R,1
ansible,lib.ansible.playbook.taggable.py,missing-module-docstring,C,1
ansible,lib.ansible.playbook.taggable.py,invalid-name,C,2
ansible,lib.ansible.playbook.taggable.py,missing-class-docstring,C,1
ansible,lib.ansible.playbook.taggable.py,super-with-arguments,R,1
ansible,lib.ansible.playbook.taggable.py,no-else-return,R,2
ansible,lib.ansible.playbook.taggable.py,no-self-use,R,1
ansible,lib.ansible.playbook.taggable.py,consider-using-set-comprehension,R,1
ansible,lib.ansible.playbook.taggable.py,too-many-branches,R,1
ansible,lib.ansible.playbook.taggable.py,too-few-public-methods,R,1
ansible,lib.ansible.playbook.handler_task_include.py,missing-module-docstring,C,1
ansible,lib.ansible.playbook.handler_task_include.py,invalid-name,C,2
ansible,lib.ansible.playbook.handler_task_include.py,missing-class-docstring,C,1
ansible,lib.ansible.playbook.handler_task_include.py,too-many-ancestors,R,1
ansible,lib.ansible.playbook.handler_task_include.py,too-many-arguments,R,1
ansible,lib.ansible.playbook.loop_control.py,missing-module-docstring,C,1
ansible,lib.ansible.playbook.loop_control.py,invalid-name,C,2
ansible,lib.ansible.playbook.loop_control.py,missing-class-docstring,C,1
ansible,lib.ansible.playbook.loop_control.py,super-with-arguments,R,1
ansible,lib.ansible.playbook.loop_control.py,missing-function-docstring,C,1
ansible,lib.ansible.compat.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.compat.__init__.py,invalid-name,C,1
ansible,lib.ansible.compat.selectors.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.compat.selectors.__init__.py,invalid-name,C,1
ansible,lib.ansible.compat.selectors.__init__.py,wrong-import-position,C,2
ansible,lib.ansible.plugins.__init__.py,line-too-long,C,3
ansible,lib.ansible.plugins.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.plugins.__init__.py,invalid-name,C,1
ansible,lib.ansible.plugins.__init__.py,missing-function-docstring,C,3
ansible,lib.ansible.plugins.__init__.py,no-else-return,R,1
ansible,lib.ansible.plugins.__init__.py,missing-class-docstring,C,1
ansible,lib.ansible.plugins.__init__.py,ungrouped-imports,C,1
ansible,lib.ansible.plugins.vars.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.plugins.vars.__init__.py,invalid-name,C,1
ansible,lib.ansible.plugins.vars.__init__.py,useless-object-inheritance,R,1
ansible,lib.ansible.plugins.vars.__init__.py,too-few-public-methods,R,1
ansible,lib.ansible.plugins.vars.__init__.py,ungrouped-imports,C,1
ansible,lib.ansible.plugins.netconf.__init__.py,line-too-long,C,16
ansible,lib.ansible.plugins.netconf.__init__.py,missing-module-docstring,C,1
ansible,lib.ansible.plugins.netconf.__init__.py,invalid-name,C,2
ansible,lib.ansible.plugins.netconf.__init__.py,missing-function-docstring,C,2
ansible,lib.ansible.plugins.netconf.__init__.py,too-many-arguments,R,1
ansible,lib.ansible.plugins.netconf.__init__.py,simplifiable-if-expression,R,1
ansible,lib.ansible.plugins.netconf.__init__.py,no-self-use,R,1
ansible,lib.ansible.plugins.cache.memory.py,missing-module-docstring,C,1
ansible,lib.ansible.plugins.cache.memory.py,invalid-name,C,1
ansible,lib.ansible.plugins.cache.memory.py,wrong-import-position,C,1
ansible,lib.ansible.plugins.cache.memory.py,missing-class-docstring,C,1
ansible,lib.ansible.plugins.cache.yaml.py,missing-module-docstring,C,1
