name,module_name,n_refactor,n_convention,statement,global_note
ansible,packaging.release.versionhelper.__init__.py,0,0,0,0
ansible,docs.docsite._themes.sphinx_rtd_theme.__init__.py,0,1,8,8.75
ansible,docs.docsite._themes.srtd.__init__.py,0,0,7,10
ansible,docs.docsite.rst.dev_guide.style_guide._themes.srtd.__init__.py,0,0,7,10
ansible,lib.ansible.release.py,0,2,5,6
ansible,lib.ansible.__init__.py,0,2,3,3.333333333333334
ansible,lib.ansible.vars.__init__.py,0,0,0,0
ansible,lib.ansible.vars.unsafe_proxy.py,0,4,9,5.555555555555555
ansible,lib.ansible.playbook.attribute.py,3,5,34,7.647058823529411
ansible,lib.ansible.playbook.taggable.py,7,4,51,7.8431372549019605
ansible,lib.ansible.playbook.handler_task_include.py,2,4,8,2.5
ansible,lib.ansible.playbook.loop_control.py,1,5,14,5.714285714285714
ansible,lib.ansible.compat.__init__.py,0,2,3,3.333333333333334
ansible,lib.ansible.compat.selectors.__init__.py,0,4,17,7.647058823529411
ansible,lib.ansible.config.__init__.py,0,0,0,0
ansible,lib.ansible.plugins.__init__.py,1,10,34,6.764705882352941
ansible,lib.ansible.plugins.vars.__init__.py,2,3,13,6.153846153846153
ansible,lib.ansible.plugins.netconf.__init__.py,3,21,113,7.876106194690266
ansible,lib.ansible.plugins.cache.memory.py,0,4,25,8.4
ansible,lib.ansible.plugins.cache.yaml.py,0,9,15,4
ansible,lib.ansible.plugins.cache.jsonfile.py,0,8,14,4.2857142857142865
ansible,lib.ansible.plugins.cache.pickle.py,1,6,18,6.111111111111111
ansible,lib.ansible.plugins.cache.base.py,0,2,3,3.333333333333334
ansible,lib.ansible.plugins.connection.oc.py,0,3,10,7
ansible,lib.ansible.plugins.terminal.exos.py,0,3,14,7.857142857142858
ansible,lib.ansible.plugins.terminal.slxos.py,0,3,13,7.692307692307692
ansible,lib.ansible.plugins.terminal.asa.py,0,4,31,8.709677419354838
ansible,lib.ansible.plugins.terminal.bigip.py,0,4,20,8
ansible,lib.ansible.plugins.terminal.iosxr.py,0,4,15,7.333333333333334
ansible,lib.ansible.plugins.terminal.aireos.py,0,4,17,7.647058823529411
ansible,lib.ansible.plugins.terminal.routeros.py,0,4,27,8.518518518518519
ansible,lib.ansible.plugins.terminal.onyx.py,0,3,37,9.18918918918919
ansible,lib.ansible.plugins.terminal.__init__.py,0,2,31,9.35483870967742
ansible,lib.ansible.plugins.terminal.junos.py,0,6,23,7.391304347826087
ansible,lib.ansible.plugins.terminal.nos.py,0,3,13,7.692307692307692
ansible,lib.ansible.plugins.terminal.dellos9.py,0,4,35,8.857142857142858
ansible,lib.ansible.plugins.terminal.aruba.py,0,3,19,8.421052631578947
ansible,lib.ansible.plugins.terminal.ironware.py,0,4,38,8.947368421052632
ansible,lib.ansible.plugins.terminal.dellos10.py,0,3,35,9.142857142857142
ansible,lib.ansible.plugins.terminal.ce.py,0,3,13,7.692307692307692
ansible,lib.ansible.plugins.terminal.cnos.py,0,3,37,9.18918918918919
ansible,lib.ansible.plugins.terminal.sros.py,0,3,13,7.692307692307692
ansible,lib.ansible.plugins.terminal.dellos6.py,0,6,34,8.235294117647058
ansible,lib.ansible.plugins.terminal.vyos.py,0,3,17,8.235294117647058
ansible,lib.ansible.plugins.terminal.enos.py,0,3,37,9.18918918918919
ansible,lib.ansible.plugins.lookup._openshift.py,2,12,74,8.108108108108109
ansible,lib.ansible.plugins.lookup.nios.py,0,7,27,7.407407407407407
ansible,lib.ansible.plugins.lookup.inventory_hostnames.py,1,7,30,7.333333333333334
ansible,lib.ansible.plugins.lookup.env.py,0,5,14,6.428571428571429
ansible,lib.ansible.plugins.lookup.list.py,0,6,13,5.384615384615384
ansible,lib.ansible.plugins.lookup._redis_kv.py,0,9,40,7.75
ansible,lib.ansible.plugins.lookup.flattened.py,1,8,35,7.428571428571429
ansible,lib.ansible.plugins.lookup.redis.py,0,6,35,8.285714285714285
ansible,lib.ansible.plugins.lookup.onepassword_raw.py,0,7,21,6.666666666666667
ansible,lib.ansible.plugins.lookup.cartesian.py,0,8,22,6.363636363636363
ansible,lib.ansible.plugins.lookup.fileglob.py,0,10,20,5
ansible,lib.ansible.plugins.lookup.first_found.py,3,14,58,7.068965517241379
ansible,lib.ansible.plugins.lookup.together.py,0,8,22,6.363636363636363
ansible,lib.ansible.plugins.lookup.dict.py,0,6,18,6.666666666666667
ansible,lib.ansible.plugins.lookup.k8s.py,2,12,74,8.108108108108109
ansible,lib.ansible.plugins.lookup.indexed_items.py,0,5,15,6.666666666666667
ansible,lib.ansible.plugins.lookup.items.py,0,4,9,5.555555555555555
ansible,lib.ansible.plugins.httpapi.__init__.py,2,5,30,7.666666666666666
ansible,lib.ansible.plugins.action.net_banner.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_l3_interface.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_vlan.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_logging.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.command.py,2,4,17,6.470588235294118
ansible,lib.ansible.plugins.action.net_l2_interface.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_user.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_lldp_interface.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.normal.py,2,5,20,6.5
ansible,lib.ansible.plugins.action.shell.py,1,4,12,5.833333333333333
ansible,lib.ansible.plugins.action.fortios_config.py,3,4,52,8.653846153846153
ansible,lib.ansible.plugins.action.net_static_route.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_interface.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_lldp.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.win_template.py,1,3,6,3.333333333333334
ansible,lib.ansible.plugins.action.net_vrf.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_ping.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.ops_config.py,1,3,6,3.333333333333334
ansible,lib.ansible.plugins.action.net_linkagg.py,2,3,8,3.75
ansible,lib.ansible.plugins.action.net_system.py,2,3,8,3.75
ansible,lib.ansible.plugins.inventory.openshift.py,1,5,13,5.384615384615384
ansible,lib.ansible.plugins.inventory.k8s.py,1,5,13,5.384615384615384
ansible,lib.ansible.plugins.callback.skippy.py,0,3,12,7.5
ansible,lib.ansible.plugins.callback.syslog_json.py,1,15,35,5.428571428571429
ansible,lib.ansible.plugins.callback.null.py,0,3,8,6.25
ansible,lib.ansible.plugins.callback.logstash.py,2,9,71,8.450704225352112
ansible,lib.ansible.plugins.callback.sumologic.py,4,15,81,7.654320987654321
ansible,lib.ansible.plugins.callback.yaml.py,1,20,63,6.666666666666667
ansible,lib.ansible.plugins.callback.splunk.py,5,15,88,7.7272727272727275
ansible,lib.ansible.plugins.filter.__init__.py,0,2,2,0
ansible,lib.ansible.plugins.cliconf.routeros.py,1,6,45,8.444444444444445
ansible,lib.ansible.plugins.cliconf.cnos.py,3,7,58,8.275862068965518
ansible,lib.ansible.plugins.cliconf.enos.py,1,5,44,8.636363636363637
ansible,lib.ansible.plugins.strategy.host_pinned.py,1,5,13,5.384615384615384
ansible,lib.ansible.plugins.strategy.debug.py,1,7,11,2.7272727272727266
ansible,lib.ansible.template.native_helpers.py,0,2,24,9.166666666666666
ansible,lib.ansible.template.template.py,1,3,13,6.923076923076923
ansible,lib.ansible.utils.py3compat.py,0,2,31,9.35483870967742
ansible,lib.ansible.utils.unicode.py,0,2,6,6.666666666666667
ansible,lib.ansible.utils.__init__.py,0,2,2,0
ansible,lib.ansible.utils.listify.py,0,4,13,6.923076923076923
ansible,lib.ansible.utils.jsonrpc.py,1,14,74,7.972972972972973
ansible,lib.ansible.utils.shlex.py,0,4,10,6
ansible,lib.ansible.utils.unsafe_proxy.py,4,10,38,6.315789473684211
ansible,lib.ansible.utils.helpers.py,1,3,12,6.666666666666667
ansible,lib.ansible.utils.module_docs_fragments.k8s_state_options.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.infinibox.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.eos.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.f5.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.exoscale.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.asa.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.k8s_resource_options.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.dimensiondata_wait.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.files.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.netapp.py,2,2,6,3.333333333333334
ansible,lib.ansible.utils.module_docs_fragments.ios.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.vultr.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.backup.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.nios.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.inventory_cache.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.ldap.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.oneview.py,2,2,4,0
ansible,lib.ansible.utils.module_docs_fragments.shell_common.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.iosxr.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.default_callback.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.k8s_scale_options.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.aireos.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.ibm_storage.py,2,3,4,-2.5
ansible,lib.ansible.utils.module_docs_fragments.purestorage.py,2,2,4,0
ansible,lib.ansible.utils.module_docs_fragments.vmware.py,2,2,2,-10
ansible,lib.ansible.utils.module_docs_fragments.azure.py,2,2,2,-10
