"Repository","Average Project MI","Total Project SLOC","Total Project Comments","Total Project Comment-to-SLOC Ratio","Total Modules in Project","Total Refactor Msgs","Total Convention Msgs","Repo Commit Count","Repo Contributer Count","Repo Release Count","Repo URL","Repo Stars Count","Repo Watchers Count","Repo Latest Tag","Repo Latest Commit","Repo Created Date","Repo Last Push Date","Repo Languages","Repo Topics","Repo Description"
"ansible","46.82","5818380","348319","5.98%","2894","10429","54321","41785","394","252","https://github.com/ansible/ansible","34454","2047","v2.7.5","a771ed93ab09691e53184c809d88a0f1073ef82d","2012-03-06 00:00:00","2018-12-24 00:00:00","[{""loc"": 41633174, ""ratio"": 0.9663909602283025, ""language"": ""Python""}, {""loc"": 1159196, ""ratio"": 0.02690730559079659, ""language"": ""PowerShell""}, {""loc"": 134655, ""ratio"": 0.0031256174403023434, ""language"": ""C#""}, {""loc"": 121617, ""ratio"": 0.0028229788439883413, ""language"": ""Shell""}, {""loc"": 23922, ""ratio"": 0.0005552784553630587, ""language"": ""Makefile""}, {""loc"": 3223, ""ratio"": 0.00007481240956588654, ""language"": ""Tcl""}, {""loc"": 2010, ""ratio"": 0.00004665620329737262, ""language"": ""Go""}, {""loc"": 1362, ""ratio"": 0.00003161480044329428, ""language"": ""Roff""}, {""loc"": 1166, ""ratio"": 0.000027065240320764414, ""language"": ""DIGITAL Command Language""}, {""loc"": 329, ""ratio"": 0.000007636761634246563, ""language"": ""Dockerfile""}, {""loc"": 156, ""ratio"": 0.0000036210784648707107, ""language"": ""SQLPL""}, {""loc"": 144, ""ratio"": 0.000003342533967572964, ""language"": ""Batchfile""}, {""loc"": 80, ""ratio"": 0.0000018569633153183133, ""language"": ""JavaScript""}, {""loc"": 54, ""ratio"": 0.0000012534502378398615, ""language"": ""HTML""}]","""[\""ansible\"", \""python\""]""","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications — automate in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com/ansible/"
"astropy","40.20","780617","151340","19.38%","355","1965","9892","23638","274","80","https://github.com/astropy/astropy","1954","177","v3.1","743055cada122d6da8704ad28452806690679ef5","2011-07-21 00:00:00","2018-12-24 00:00:00","[{""loc"": 8946476, ""ratio"": 0.9540699379450304, ""language"": ""Python""}, {""loc"": 426997, ""ratio"": 0.0455358066452885, ""language"": ""C""}, {""loc"": 1172, ""ratio"": 0.0001249844036100444, ""language"": ""HTML""}, {""loc"": 1057, ""ratio"": 0.00011272057561076529, ""language"": ""C++""}, {""loc"": 853, ""ratio"": 0.0000909656111598702, ""language"": ""TeX""}, {""loc"": 615, ""ratio"": 0.00006558481930049258, ""language"": ""Objective-C""}]","""[\""astronomy\"", \""python\"", \""science\""]""","Repository for the Astropy core package"
"autobahn-python","46.86","182842","35864","19.61%","49","541","2752","2995","91","105","https://github.com/crossbario/autobahn-python","1933","109","v18.12.1","bf699dbb03b74dc066830ec426d866af4e704e60","2011-07-27 00:00:00","2018-12-17 00:00:00","[{""loc"": 1391161, ""ratio"": 0.95890026661373, ""language"": ""Python""}, {""loc"": 40470, ""ratio"": 0.027895185237264163, ""language"": ""Makefile""}, {""loc"": 17063, ""ratio"": 0.011761194605965862, ""language"": ""C""}, {""loc"": 2094, ""ratio"": 0.0014433535430400583, ""language"": ""Shell""}]","""[\""autobahn\"", \""pubsub\"", \""python\"", \""real-time\"", \""rpc\"", \""wamp\"", \""websocket\""]""","WebSocket and WAMP in Python for Twisted and asyncio"
"aws-cli","61.73","126303","20070","15.89%","186","585","1378","6512","183","686","https://github.com/aws/aws-cli","7340","576","1.16.96","8bae3a2a1a20c56e2f7fbd72a2593b5252b323d9","2012-11-20 00:00:00","2018-12-21 00:00:00","[{""loc"": 3548203, ""ratio"": 0.9990879760953438, ""language"": ""Python""}, {""loc"": 1807, ""ratio"": 0.0005088074083710222, ""language"": ""Shell""}, {""loc"": 1432, ""ratio"": 0.0004032164962851709, ""language"": ""Batchfile""}]","""[\""aws\"", \""aws-cli\"", \""cloud\"", \""cloud-management\""]""","Universal Command Line Interface for Amazon Web Services"
"beets","43.66","186165","29132","15.64%","85","471","936","8359","298","52","https://github.com/beetbox/beets","8410","471","v1.4.7","a469b3284ef09d5d4be8610dd9cd34cf0283a91a","2010-08-09 00:00:00","2018-12-21 00:00:00","[{""loc"": 1942780, ""ratio"": 0.9512091467427067, ""language"": ""Python""}, {""loc"": 85947, ""ratio"": 0.04208071553912199, ""language"": ""JavaScript""}, {""loc"": 7448, ""ratio"": 0.0036466330335599914, ""language"": ""Shell""}, {""loc"": 3306, ""ratio"": 0.001618658540406731, ""language"": ""HTML""}, {""loc"": 2951, ""ratio"": 0.0014448461442045561, ""language"": ""CSS""}]","""[\""cli\"", \""music\"", \""music-library\"", \""musicbrainz\"", \""python\""]""","music library manager and MusicBrainz tagger"
"biopython","43.54","615445","105803","17.19%","307","1930","5002","12670","211","56","https://github.com/biopython/biopython","1581","149","biopython-173","9c4785fc9eaf8a3bc436c6c0b16e7a05019cade1","2009-03-15 00:00:00","2018-12-24 00:00:00","[{""loc"": 11778623, ""ratio"": 0.9081052704943539, ""language"": ""Python""}, {""loc"": 601577, ""ratio"": 0.04638023004116711, ""language"": ""C""}, {""loc"": 454926, ""ratio"": 0.035073768664207555, ""language"": ""Parrot""}, {""loc"": 75122, ""ratio"": 0.0057917367870655885, ""language"": ""HTML""}, {""loc"": 43350, ""ratio"": 0.0033421872383495284, ""language"": ""PLpgSQL""}, {""loc"": 8928, ""ratio"": 0.0006883286658358614, ""language"": ""Nu""}, {""loc"": 5568, ""ratio"": 0.00042928024320946194, ""language"": ""Gnuplot""}, {""loc"": 1927, ""ratio"": 0.00014856735428603324, ""language"": ""Prolog""}, {""loc"": 527, ""ratio"": 0.00004063051152503348, ""language"": ""Roff""}]","""[]""","Official git repository for Biopython (converted from CVS)"
"boto","58.00","237761","35457","14.91%","258","1398","3864","7144","347","89","https://github.com/boto/boto","6258","309","v2.13.2","1ab0270cceca3ff30f5abb23951a6fb991ed3da4","2010-07-12 00:00:00","2018-11-04 00:00:00","[{""loc"": 6684894, ""ratio"": 1.0, ""language"": ""Python""}]","""[]""","For the latest version of boto, see https://github.com/boto/boto3 -- Python interface to Amazon Web Services"
"buildbot","56.60","318794","57030","17.88%","313","1129","7691","18139","337","118","https://github.com/buildbot/buildbot","3705","205","v1.7.0","8f5fb0a3e18b526dc289975b8c157b8e7196a095","2010-07-06 00:00:00","2018-12-24 00:00:00","[{""loc"": 6760895, ""ratio"": 0.9256063013944685, ""language"": ""Python""}, {""loc"": 319909, ""ratio"": 0.043797424197950574, ""language"": ""CoffeeScript""}, {""loc"": 64787, ""ratio"": 0.008869721456766217, ""language"": ""RAML""}, {""loc"": 52025, ""ratio"": 0.007122528574995948, ""language"": ""HTML""}, {""loc"": 38942, ""ratio"": 0.005331388904709124, ""language"": ""TypeScript""}, {""loc"": 19710, ""ratio"": 0.0026984149584463263, ""language"": ""CSS""}, {""loc"": 15095, ""ratio"": 0.0020665943073438506, ""language"": ""Shell""}, {""loc"": 12185, ""ratio"": 0.0016681981871470566, ""language"": ""Makefile""}, {""loc"": 12137, ""ratio"": 0.001661626704752058, ""language"": ""Roff""}, {""loc"": 4991, ""ratio"": 0.0006832972631966319, ""language"": ""Dockerfile""}, {""loc"": 3612, ""ratio"": 0.0004945040502236495, ""language"": ""JavaScript""}]","""[\""ci\"", \""ci-framework\"", \""continuous-integration\"", \""python\""]""","Python-based continuous integration testing framework; your pull requests are more than welcome!"
"celery","41.73","302080","18136","6.00%","247","1626","7263","10717","403","176","https://github.com/celery/celery","11242","473","v4.2.1","16d424877d8766395f3f6a5b2eba1b489127994a","2009-04-24 00:00:00","2018-12-22 00:00:00","[{""loc"": 2221569, ""ratio"": 0.9795705368091464, ""language"": ""Python""}, {""loc"": 31933, ""ratio"": 0.014080420618007575, ""language"": ""Shell""}, {""loc"": 4247, ""ratio"": 0.0018726566988594298, ""language"": ""Makefile""}, {""loc"": 4227, ""ratio"": 0.0018638379717633177, ""language"": ""Batchfile""}, {""loc"": 3138, ""ratio"": 0.0013836582813800073, ""language"": ""Dockerfile""}, {""loc"": 2787, ""ratio"": 0.0012288896208432379, ""language"": ""PowerShell""}]","""[\""amqp\"", \""python\"", \""python-library\"", \""python2\"", \""python3\"", \""queue-tasks\"", \""queue-workers\"", \""queued-jobs\"", \""redis\"", \""sqs\"", \""sqs-queue\"", \""task-manager\"", \""task-runner\"", \""task-scheduler\""]""","Distributed Task Queue (development branch)"
"cobbler","58.76","77348","9295","12.01%","66","221","4511","6855","181","94","https://github.com/cobbler/cobbler","1668","149","v2.8.4","f88f4e35adc368316148b86169382914fcd6f480","2011-11-08 00:00:00","2018-12-23 00:00:00","[{""loc"": 1052785, ""ratio"": 0.9554894230315439, ""language"": ""Python""}, {""loc"": 25522, ""ratio"": 0.023163324947269446, ""language"": ""Shell""}, {""loc"": 9598, ""ratio"": 0.00871097848303002, ""language"": ""JavaScript""}, {""loc"": 8915, ""ratio"": 0.008091099518255119, ""language"": ""CSS""}, {""loc"": 4735, ""ratio"": 0.004297403950525853, ""language"": ""Makefile""}, {""loc"": 273, ""ratio"": 0.0002477700693756194, ""language"": ""HTML""}]","""[\""cobbler\"", \""deployment\"", \""dhcp\"", \""pxe\"", \""python\"", \""tftp\""]""","Cobbler is a versatile Linux deployment server"
